session,root,interval,instrument,group,given_answer,correct_answer,difference,bin_difference
posttest,55,61,piano,B,6,6,0,True
posttest,57,68,piano,B,8,11,-3,False
posttest,69,62,piano,B,-8,-7,-1,False
posttest,52,64,piano,A,12,12,0,True
posttest,52,63,piano,B,10,11,-1,False
posttest,55,67,piano,A,11,12,-1,False
posttest,61,55,piano,B,-4,-6,2,False
posttest,61,65,piano,A,5,4,1,False
posttest,61,66,piano,A,6,5,1,False
posttest,62,52,piano,B,-9,-10,1,False
posttest,58,68,piano,B,6,10,-4,False
posttest,60,57,piano,A,-3,-3,0,True
posttest,58,56,piano,A,-2,-2,0,True
posttest,60,63,piano,A,4,3,1,False
posttest,67,55,piano,A,-12,-12,0,True
posttest,61,58,piano,A,-2,-3,1,False
posttest,55,60,piano,A,5,5,0,True
posttest,57,69,piano,A,12,12,0,True
posttest,53,57,piano,A,4,4,0,True
posttest,64,52,piano,A,-9,-12,3,False
posttest,58,63,piano,A,6,5,1,False
posttest,61,52,piano,B,-7,-9,2,False
posttest,56,52,piano,B,-9,-4,-5,False
posttest,54,62,piano,A,9,8,1,False
posttest,59,67,piano,A,10,8,2,False
posttest,65,56,piano,B,-8,-9,1,False
posttest,56,60,piano,A,2,4,-2,False
posttest,69,58,piano,B,-10,-11,1,False
posttest,69,61,piano,A,-9,-8,-1,False
posttest,64,52,piano,A,-12,-12,0,True
posttest,53,53,piano,A,0,0,0,True
posttest,54,54,piano,B,0,0,0,True
posttest,63,55,piano,A,-8,-8,0,True
posttest,60,66,piano,B,6,6,0,True
posttest,66,59,piano,B,-5,-7,2,False
posttest,59,66,piano,B,7,7,0,True
posttest,60,66,piano,B,4,6,-2,False
posttest,60,67,piano,B,8,7,1,False
posttest,57,67,piano,B,11,10,1,False
posttest,61,61,piano,B,0,0,0,True
posttest,67,67,piano,A,0,0,0,True
posttest,66,55,piano,B,-9,-11,2,False
posttest,58,60,piano,A,2,2,0,True
posttest,52,54,piano,A,-1,2,-3,False
posttest,58,67,piano,B,5,9,-4,False
posttest,54,63,piano,B,10,9,1,False
posttest,69,67,piano,A,2,-2,4,False
posttest,68,58,piano,B,11,-10,21,False
posttest,64,63,piano,B,2,-1,3,False
posttest,65,62,piano,A,4,-3,7,False
posttest,58,61,piano,A,3,3,0,True
posttest,63,54,piano,B,-3,-9,6,False
posttest,66,55,piano,B,-9,-11,2,False
posttest,67,61,piano,B,4,-6,10,False
posttest,63,59,piano,B,-3,-4,1,False
posttest,62,52,piano,B,-2,-10,8,False
posttest,55,62,piano,B,7,7,0,True
posttest,67,62,piano,A,-7,-5,-2,False
posttest,65,66,piano,A,1,1,0,True
posttest,57,58,piano,A,2,1,1,False
posttest,66,64,piano,A,-1,-2,1,False
posttest,57,60,piano,A,5,3,2,False
posttest,57,68,piano,B,10,11,-1,False
posttest,65,61,piano,B,-3,-4,1,False
posttest,60,68,piano,A,8,8,0,True
posttest,62,57,piano,A,-4,-5,1,False
posttest,55,64,piano,B,9,9,0,True
posttest,61,63,piano,A,1,2,-1,False
posttest,58,57,piano,B,-1,-1,0,True
posttest,58,52,piano,B,-3,-6,3,False
posttest,60,65,singer,A,4,5,-1,False
posttest,52,54,singer,A,2,2,0,True
posttest,59,57,singer,A,-1,-2,1,False
posttest,55,67,singer,A,12,12,0,True
posttest,66,60,singer,B,4,-6,10,False
posttest,64,61,singer,A,3,-3,6,False
posttest,68,67,singer,B,-1,-1,0,True
posttest,56,62,singer,B,8,6,2,False
posttest,59,55,singer,B,-3,-4,1,False
posttest,58,69,singer,B,12,11,1,False
posttest,55,62,singer,B,5,7,-2,False
posttest,52,53,singer,A,1,1,0,True
posttest,66,55,singer,B,-8,-11,3,False
posttest,68,60,singer,A,-9,-8,-1,False
posttest,55,55,singer,B,0,0,0,True
posttest,65,55,singer,B,-10,-10,0,True
posttest,54,56,singer,A,-1,2,-3,False
posttest,54,65,singer,B,6,11,-5,False
posttest,66,60,singer,B,-5,-6,1,False
posttest,65,55,singer,B,-11,-10,-1,False
posttest,55,59,singer,A,6,4,2,False
posttest,52,55,singer,A,1,3,-2,False
posttest,67,66,singer,B,-2,-1,-1,False
posttest,53,63,singer,B,12,10,2,False
posttest,57,60,singer,A,4,3,1,False
posttest,54,61,singer,B,7,7,0,True
posttest,60,54,singer,B,-4,-6,2,False
posttest,60,66,singer,B,10,6,4,False
posttest,66,54,singer,A,-12,-12,0,True
posttest,58,64,singer,B,9,6,3,False
posttest,68,57,singer,B,-8,-11,3,False
posttest,65,66,singer,A,2,1,1,False
posttest,59,63,singer,A,5,4,1,False
posttest,56,64,singer,A,8,8,0,True
posttest,56,54,singer,A,-4,-2,-2,False
posttest,63,56,singer,B,-12,-7,-5,False
posttest,64,61,singer,A,-4,-3,-1,False
posttest,63,61,singer,A,-3,-2,-1,False
posttest,56,52,singer,B,-3,-4,1,False
posttest,54,63,singer,B,12,9,3,False
posttest,68,59,singer,B,-9,-9,0,True
posttest,56,53,singer,A,-3,-3,0,True
posttest,64,52,singer,A,-12,-12,0,True
posttest,56,61,singer,A,7,5,2,False
posttest,63,56,singer,B,-10,-7,-3,False
posttest,53,65,singer,A,12,12,0,True
posttest,57,64,singer,B,9,7,2,False
posttest,65,61,singer,B,6,-4,10,False
posttest,66,54,singer,A,-8,-12,4,False
posttest,61,61,singer,A,0,0,0,True
posttest,55,67,singer,A,11,12,-1,False
posttest,57,65,singer,A,9,8,1,False
posttest,63,52,singer,B,-10,-11,1,False
posttest,57,60,singer,A,2,3,-1,False
posttest,53,62,singer,B,6,9,-3,False
posttest,56,60,singer,A,3,4,-1,False
posttest,65,57,singer,A,-5,-8,3,False
posttest,66,61,singer,A,-6,-5,-1,False
posttest,54,62,singer,A,4,8,-4,False
posttest,69,60,singer,B,-8,-9,1,False
posttest,62,53,singer,B,-7,-9,2,False
posttest,59,69,singer,B,11,10,1,False
posttest,62,64,singer,A,2,2,0,True
posttest,52,52,singer,B,0,0,0,True
posttest,57,68,singer,B,10,11,-1,False
posttest,57,52,singer,A,-2,-5,3,False
posttest,65,65,singer,A,0,0,0,True
posttest,68,58,singer,B,-9,-10,1,False
posttest,52,61,singer,B,9,9,0,True
posttest,56,61,singer,A,9,5,4,False
posttest,54,59,vocal,A,7,5,2,False
posttest,60,58,vocal,A,-1,-2,1,False
posttest,55,57,vocal,A,2,2,0,True
posttest,54,52,vocal,A,-3,-2,-1,False
posttest,69,65,vocal,B,-5,-4,-1,False
posttest,64,52,vocal,A,-10,-12,2,False
posttest,53,60,vocal,B,9,7,2,False
posttest,54,54,vocal,A,0,0,0,True
posttest,57,69,vocal,A,12,12,0,True
posttest,52,62,vocal,B,11,10,1,False
posttest,55,66,vocal,B,11,11,0,True
posttest,68,63,vocal,A,-7,-5,-2,False
posttest,56,64,vocal,A,9,8,1,False
posttest,64,63,vocal,B,-1,-1,0,True
posttest,54,66,vocal,A,12,12,0,True
posttest,58,67,vocal,B,10,9,1,False
posttest,56,56,vocal,A,0,0,0,True
posttest,65,54,vocal,B,-8,-11,3,False
posttest,66,60,vocal,B,-4,-6,2,False
posttest,52,52,vocal,B,0,0,0,True
posttest,67,65,vocal,A,-3,-2,-1,False
posttest,63,69,vocal,B,8,6,2,False
posttest,62,55,vocal,B,-7,-7,0,True
posttest,65,61,vocal,B,-3,-4,1,False
posttest,65,53,vocal,A,-9,-12,3,False
posttest,58,69,vocal,B,10,11,-1,False
posttest,53,64,vocal,B,6,11,-5,False
posttest,63,62,vocal,B,-1,-1,0,True
posttest,66,55,vocal,B,-8,-11,3,False
posttest,61,69,vocal,A,12,8,4,False
posttest,63,68,vocal,A,10,5,5,False
posttest,64,56,vocal,A,-9,-8,-1,False
posttest,52,56,vocal,A,4,4,0,True
posttest,53,55,vocal,A,2,2,0,True
posttest,69,64,vocal,A,-5,-5,0,True
posttest,59,67,vocal,A,7,8,-1,False
posttest,56,53,vocal,A,-4,-3,-1,False
posttest,58,65,vocal,B,7,7,0,True
posttest,60,69,vocal,B,12,9,3,False
posttest,65,56,vocal,B,-9,-9,0,True
posttest,56,63,vocal,B,4,7,-3,False
posttest,52,56,vocal,A,4,4,0,True
posttest,58,55,vocal,A,-3,-3,0,True
posttest,53,56,vocal,A,3,3,0,True
posttest,57,63,vocal,B,6,6,0,True
posttest,59,61,vocal,A,2,2,0,True
posttest,63,66,vocal,A,3,3,0,True
posttest,65,55,vocal,B,-8,-10,2,False
posttest,52,62,vocal,B,11,10,1,False
posttest,65,57,vocal,A,-2,-8,6,False
posttest,67,68,vocal,A,1,1,0,True
posttest,64,55,vocal,B,-9,-9,0,True
posttest,67,60,vocal,B,-7,-7,0,True
posttest,66,55,vocal,B,-11,-11,0,True
posttest,52,57,vocal,A,5,5,0,True
posttest,62,56,vocal,B,5,-6,11,False
posttest,66,62,vocal,B,-4,-4,0,True
posttest,62,53,vocal,B,-11,-9,-2,False
posttest,67,67,vocal,B,0,0,0,True
posttest,55,67,vocal,A,12,12,0,True
posttest,65,55,vocal,B,-7,-10,3,False
posttest,60,69,vocal,B,9,9,0,True
posttest,55,52,vocal,A,-3,-3,0,True
posttest,54,58,vocal,A,4,4,0,True
posttest,54,60,vocal,B,12,6,6,False
posttest,69,57,vocal,A,-12,-12,0,True
posttest,58,59,vocal,A,1,1,0,True
posttest,63,66,vocal,A,4,3,1,False
posttest,62,52,vocal,B,-3,-10,7,False
posttest,59,53,vocal,B,-5,-6,1,False
pretest,53,57,piano,A,4,4,0,True
pretest,57,55,piano,A,-2,-2,0,True
pretest,60,65,piano,A,12,5,7,False
pretest,61,53,piano,A,-7,-8,1,False
pretest,52,54,piano,A,1,2,-1,False
pretest,53,65,piano,A,12,12,0,True
pretest,63,60,piano,A,2,-3,5,False
pretest,56,53,piano,A,2,-3,5,False
pretest,63,64,piano,A,1,1,0,True
pretest,64,67,piano,A,5,3,2,False
pretest,64,67,piano,A,5,3,2,False
pretest,67,62,piano,A,-3,-5,2,False
pretest,56,68,piano,A,12,12,0,True
pretest,64,52,piano,A,-12,-12,0,True
pretest,54,56,piano,A,5,2,3,False
pretest,66,64,piano,A,-3,-2,-1,False
pretest,63,63,piano,A,0,0,0,True
pretest,52,60,piano,A,8,8,0,True
pretest,54,58,piano,A,4,4,0,True
pretest,61,69,piano,A,10,8,2,False
pretest,64,60,piano,B,6,-4,10,False
pretest,63,52,piano,B,-5,-11,6,False
pretest,61,55,piano,B,-7,-6,-1,False
pretest,56,65,piano,B,4,9,-5,False
pretest,66,59,piano,B,-7,-7,0,True
pretest,59,69,piano,B,10,10,0,True
pretest,61,68,piano,B,8,7,1,False
pretest,65,54,piano,B,-5,-11,6,False
pretest,63,69,piano,B,6,6,0,True
pretest,61,60,piano,B,-3,-1,-2,False
pretest,60,69,piano,B,4,9,-5,False
pretest,69,65,piano,B,-3,-4,1,False
pretest,62,62,piano,B,0,0,0,True
pretest,56,63,piano,B,2,7,-5,False
pretest,67,58,piano,B,-8,-9,1,False
pretest,68,58,piano,B,-5,-10,5,False
pretest,52,63,piano,B,9,11,-2,False
pretest,56,67,piano,B,-6,11,-17,False
pretest,68,59,piano,B,5,-9,14,False
pretest,64,54,piano,B,-4,-10,6,False
pretest,63,66,singer,A,5,3,2,False
pretest,61,59,singer,A,-1,-2,1,False
pretest,57,62,singer,A,7,5,2,False
pretest,57,69,singer,A,12,12,0,True
pretest,61,59,singer,A,-1,-2,1,False
pretest,63,58,singer,A,-3,-5,2,False
pretest,58,62,singer,A,4,4,0,True
pretest,63,60,singer,A,-6,-3,-3,False
pretest,58,66,singer,A,8,8,0,True
pretest,59,61,singer,A,-1,2,-3,False
pretest,63,67,singer,A,8,4,4,False
pretest,53,61,singer,A,2,8,-6,False
pretest,61,63,singer,A,1,2,-1,False
pretest,61,64,singer,A,5,3,2,False
pretest,69,57,singer,A,-7,-12,5,False
pretest,57,54,singer,A,-2,-3,1,False
pretest,65,57,singer,A,-7,-8,1,False
pretest,62,62,singer,A,0,0,0,True
pretest,55,67,singer,A,12,12,0,True
pretest,59,60,singer,A,1,1,0,True
pretest,53,53,singer,B,0,0,0,True
pretest,66,57,singer,B,-7,-9,2,False
pretest,58,68,singer,B,9,10,-1,False
pretest,56,62,singer,B,4,6,-2,False
pretest,54,65,singer,B,5,11,-6,False
pretest,65,55,singer,B,-9,-10,1,False
pretest,57,64,singer,B,11,7,4,False
pretest,57,68,singer,B,11,11,0,True
pretest,69,58,singer,B,-6,-11,5,False
pretest,63,52,singer,B,8,-11,19,False
pretest,65,56,singer,B,-5,-9,4,False
pretest,62,52,singer,B,-7,-10,3,False
pretest,57,66,singer,B,8,9,-1,False
pretest,68,61,singer,B,-5,-7,2,False
pretest,56,65,singer,B,7,9,-2,False
pretest,65,59,singer,B,-2,-6,4,False
pretest,62,58,singer,B,-2,-4,2,False
pretest,59,66,singer,B,6,7,-1,False
pretest,57,56,singer,B,-1,-1,0,True
pretest,59,55,singer,B,-1,-4,3,False
pretest,64,61,vocal,A,-2,-3,1,False
pretest,67,69,vocal,A,4,2,2,False
pretest,65,68,vocal,A,-1,3,-4,False
pretest,60,64,vocal,A,4,4,0,True
pretest,52,60,vocal,A,6,8,-2,False
pretest,58,58,vocal,A,0,0,0,True
pretest,65,57,vocal,A,-5,-8,3,False
pretest,55,67,vocal,A,12,12,0,True
pretest,66,64,vocal,A,-2,-2,0,True
pretest,58,61,vocal,A,3,3,0,True
pretest,64,52,vocal,A,-12,-12,0,True
pretest,57,62,vocal,A,4,5,-1,False
pretest,67,62,vocal,A,-7,-5,-2,False
pretest,69,67,vocal,A,-4,-2,-2,False
pretest,57,58,vocal,A,1,1,0,True
pretest,52,54,vocal,A,2,2,0,True
pretest,52,64,vocal,A,12,12,0,True
pretest,62,59,vocal,A,3,-3,6,False
pretest,56,60,vocal,A,5,4,1,False
pretest,57,65,vocal,A,8,8,0,True
pretest,57,66,vocal,B,7,9,-2,False
pretest,65,64,vocal,B,-1,-1,0,True
pretest,60,53,vocal,B,-5,-7,2,False
pretest,62,58,vocal,B,-2,-4,2,False
pretest,56,67,vocal,B,8,11,-3,False
pretest,57,63,vocal,B,3,6,-3,False
pretest,66,56,vocal,B,-7,-10,3,False
pretest,62,53,vocal,B,-4,-9,5,False
pretest,68,58,vocal,B,-7,-10,3,False
pretest,67,56,vocal,B,-7,-11,4,False
pretest,55,62,vocal,B,7,7,0,True
pretest,54,65,vocal,B,10,11,-1,False
pretest,67,63,vocal,B,-2,-4,2,False
pretest,64,53,vocal,B,-8,-11,3,False
pretest,65,65,vocal,B,0,0,0,True
pretest,52,62,vocal,B,5,10,-5,False
pretest,54,63,vocal,B,1,9,-8,False
pretest,67,58,vocal,B,8,-9,17,False
pretest,66,60,vocal,B,-4,-6,2,False
pretest,60,67,vocal,B,7,7,0,True
